"Identificação do post","Identificação da conta","Nome de usuário da conta","Nome da conta",Descrição,"Duração (s)","Horário de publicação","Link permanente","Tipo de post","Comentário de dados",Data,Visualizações,Curtidas,Compartilhamentos,Comentários,Salvamentos,Alcance,Seguimentos
17979666974931877,17841405730557330,monicametran,"Mônica Metran","Entre formas puras e linhas contínuas, os colares e correntes da Coleção Origem surgem ao lado do versátil piercing Ciclos.",76,"11/28/2025 13:30",https://www.instagram.com/reel/DRnYRlxD7k3/,"Reel do Instagram",,Total,8245,99,4,13,14,6531,41
17894451957361610,17841405730557330,monicametran,"Mônica Metran","ORIGEM celebra o ouro em sua expressão mais pura. Vem ver cada detalhe de perto.",86,"11/27/2025 14:30",https://www.instagram.com/reel/DRk6QKADzjb/,"Reel do Instagram",,Total,7428,203,28,39,19,5154,4
18049864385666920,17841405730557330,monicametran,"Mônica Metran","Um tributo ao essencial — Coleção ORIGEM ✨ @thassianaves",25,"11/26/2025 14:30",https://www.instagram.com/reel/DRk6URAj34p/,"Reel do Instagram",,Total,37249,188,23,4,27,25739,34
18070027124458954,17841405730557330,monicametran,"Mônica Metran","Onde tudo começa, tudo volta.",13,"11/25/2025 14:30",https://www.instagram.com/reel/DRfwwK5D895/,"Reel do Instagram",,Total,3011,36,2,3,7,2521,1
18068778938524648,17841405730557330,monicametran,"Mônica Metran","Em ORIGEM, as peças revelam uma verdade: o valor nasce de dentro, e o autêntico permanece no tempo.",10,"11/24/2025 14:30",https://www.instagram.com/reel/DRdL4w3jxSs/,"Reel do Instagram",,Total,5840,52,4,8,4,4451,9
18074366182997974,17841405730557330,monicametran,"Mônica Metran","@thassianaves em ORIGEM 🌟",0,"11/23/2025 13:00",https://www.instagram.com/p/DRac1vgjy4u/,"Carrossel do Instagram",,Total,14434,30,2,0,3,1588,1
17867917602480077,17841405730557330,monicametran,"Mônica Metran","Coleção Origem ✨ @thassianaves",0,"11/22/2025 09:00",https://www.instagram.com/p/DRXcjLNj52j/,"Carrossel do Instagram",,Total,15194,40,5,4,10,1951,0
18149105647425485,17841405730557330,monicametran,"Mônica Metran","Alguns dos nossos modelos de braceletes: MM Diamonds e Lâmina — disponíveis nos tamanhos P, M e G.

Qual é a sua versão favorita? 🤍",63,"11/21/2025 13:30",https://www.instagram.com/reel/DRacw8kDxgq/,"Reel do Instagram",,Total,13209,107,11,1,17,9629,60
17865016416503109,17841405730557330,monicametran,"Mônica Metran","Na Coleção Origem, cada peça sussurra o essencial: o verdadeiro valor vem de dentro, e o que é autêntico permanece.

Anel Voltas — Coleção Origem.",0,"11/20/2025 14:30",https://www.instagram.com/p/DRS4yg2jy5W/,"Carrossel do Instagram",,Total,14459,30,0,2,3,2027,0
17869166709398530,17841405730557330,monicametran,"Mônica Metran","ORIGEM é o que resiste ao tempo: o ouro em seu princípio, a forma em sua eternidade. Brinco Ciclos G — Coleção Origem.",14,"11/19/2025 14:30",https://www.instagram.com/reel/DRNvHL1CQxO/,"Reel do Instagram",,Total,18280,118,9,8,29,13067,100
